Id,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5
1474,29652,之后出来.,73063,Carolyn|Jennifer,middle:21|really:2|keep:28,Benjamin|Steven|John|John|Jenny
1475,93681,作品只是以后.,8550,Nicole|Craig|Veronica|Jaime,coach:41,Cristian|Julie|Andrew|John|Brian
1476,90758,能力是否研究.,49971,Michelle|Valerie|James,man:22,Jessica|Daniel|Nicholas|Molly|James
1477,59939,发现就是.,53053,Derek|Patricia,set:4|mind:17,Cynthia|David|Melissa|Cynthia|Emily
1478,64382,是否来源空间.,47428,Ethan|Catherine|Donna|Robert|Christopher,institution:50|open:8|relationship:26,Charles|George|Jeffery
1479,67189,必须北京.,65296,Theresa|William|Robert|Jessica,sign:7,Emily|Christopher|Michael|David|Courtney
1480,8426,介绍这么欢迎.,58058,Jennifer|Leonard,front:37|kitchen:8,Sierra|Patricia|Leah|Jessica|Adam
1481,43325,"Text, ""时候这种.""",79368,Mary|Sarah|Caroline|Kristina,respond:48|magazine:34|figure:22,Eric|Melissa|Cindy|Adriana
1482,6606,"Text, ""可以网站.""",8914,Jeffrey|Robin|Samantha,make:14,Amy|Alex|Matthew|Todd
1483,42474,大小有限最后.,61321,Michael|Douglas|Shawn|Brittany,never:38|thank:2,Kristine|Carol
1484,40989,数据经营的话所以.,43440,Ricardo|Ronald,defense:28|to:24|true:43,Michael|Matthew|Adam
1485,8496,国际网络.,24099,Daniel|Anthony|Brandon|Jessica,to:7,Matthew|Margaret
1486,49286,搜索软件.,39863,Robert|Jeffrey|James|Jonathan,think:39,Ian|Maria
1487,91206,"Text, ""音乐一下.""",59733,Lori|Joseph|Danielle|Christine,town:38|start:49|program:38,Jocelyn|Ashley|Catherine|Mark|Steven
1488,48467,知道为了名称一下.,19514,Randy|Devin|Karen|Michael|Samantha,article:49|stage:14|something:31,Cynthia|Destiny|Katelyn|Jason
1489,87994,而且发表学校.,17858,Darryl|Felicia|Kristin|Stephanie,woman:27|yes:18,James|Monica
1490,12961,业务学习作者.,80131,Annette|Lori|Yvette,son:45|gun:32|anyone:32,Rebecca|Steven|Richard|Kyle|Richard
1491,31568,"Text, ""来源一直人民.""",70024,Cameron|Cody|Robert|Patrick|Kristin,these:5|wish:45,Kelsey|Daniel|Jeremiah|Alex
1492,89617,成为全部作品.,23242,Ronnie|Tyler|Thomas,main:30|hand:38|last:30,Nicole|Luis|Paul
1493,83468,开始市场.,78111,Robert|Patty|Maria|Christine|Drew,respond:28,Brandon|Debra|Derrick|Anthony
1494,91625,投资研究.,5364,Victoria|Amy,about:19|can:37|contain:19,Robert|Paul|Robert|Rebecca
1495,93101,出现学习公司.,9424,Kimberly|Allison|Jose|Jaime|Alicia,ground:43,Beth|Kara|Mark|Tommy|Sean
1496,93988,地方.,10962,Leah|Jackie|Nicole|Shawn|Regina,cost:18|respond:47,Jason|Jason
1497,98344,"Text, ""喜欢业务.""",30197,Matthew|Sean|Robert|Sandra|Jennifer,section:45,Christopher|Lisa|William
1498,3356,发生.,74098,Theresa|Daryl|Amanda|Danielle,audience:36,Victoria|Brandi|Katie
1499,23180,一切什么知道一直.,21818,Brittany|Danielle,investment:34,Margaret|Amy|Anita|Sara
